driver,variable,lag,spearman_r,p_value,n
mhw_days,EC50,7,0.03519309844392486,0.6616907458434087,157
mhw_days,EC50,8,-0.13290519043159535,0.09704339784165494,157
mhw_days,EC50,9,-0.06004440613003057,0.4550536188482437,157
mhw_days,EC50,10,-0.028904297347415953,0.7193326952781607,157
mhw_days,EC50,11,0.02343725773541141,0.7707750120864827,157
mhw_days,EC50,12,-0.035307834953082075,0.6606560851045828,157
mhw_cum_intensity,EC50,0,0.14671325051759837,0.06329129412361083,161
mhw_cum_intensity,EC50,1,0.05195824706694272,0.5127371667106166,161
mhw_cum_intensity,EC50,2,-0.08169166764326731,0.3044475579655385,160
mhw_cum_intensity,EC50,3,0.11272689276331503,0.15714764038282075,159
mhw_cum_intensity,EC50,4,0.1331281689305235,0.09540731929015227,158
mhw_cum_intensity,EC50,5,0.12320840491444378,0.12421406952357274,157
mhw_cum_intensity,EC50,6,-0.02055644105954515,0.7983059040867753,157
mhw_cum_intensity,EC50,7,0.09969982448415085,0.2141073306046452,157
mhw_cum_intensity,EC50,8,-0.0036126495450852464,0.9641832020662902,157
mhw_cum_intensity,EC50,9,0.03977325585001148,0.6209031092074068,157
mhw_cum_intensity,EC50,10,0.09472584176284894,0.23796751043072187,157
mhw_cum_intensity,EC50,11,0.10637004694893916,0.1848637990005006,157
mhw_cum_intensity,EC50,12,0.06961715217782298,0.386280963888713,157
